city,taluka,area
Satara,Satara Rural,Bavdhan Nagar
Jalgaon,Jalgaon Central,Greenbasti Phase-2
Amravati,Amravati East,Udaypeth East
Pimpri-Chinchwad,Pimpri-Chinchwad East,Wakad Layout
Thane,Thane Central,Shivnagar Extension
Navi Mumbai,Navi Mumbai Taluka-2,Udayvihar West
Akola,Akola Urban,Kharadi Market
Wardha,Wardha Taluka-2,Vijaynagar Industrial
Beed,Beed Central,Dhayari Society 13
Latur,Latur East,Santwadi Residential
Nanded,Nanded Taluka-2,Gayatrilayout Central
Parbhani,Parbhani North,Newbasti East
Raigad,Raigad Taluka-3,Bandra Nagar
Ratnagiri,Ratnagiri West,Greenchowk Phase-1
Sindhudurg,Sindhudurg Taluka-3,Yerawada Road
Palghar,Palghar South,Sailayout Phase-2
Buldhana,Buldhana Urban,Nigdi Society
Nandurbar,Nandurbar Taluka-1,Camp Nagar
Dhule,Dhule West,Fursungi Colony
Jalna,Jalna South,Yerawada Nagar
Osmanabad,Osmanabad West,Udaybasti Central
Hingoli,Hingoli Taluka-3,Bandra Nagar
Washim,Washim Urban,Worli Society 3
Yavatmal,Yavatmal Rural,Vile Parle Nagar
Bhandara,Bhandara Taluka-3,Ambegaon Layout 9
Gondia,Gondia Central,Newgaon Industrial
Gadchiroli,Gadchiroli Urban,Rajawadi Residential
Chandrapur,Chandrapur Taluka-1,Aundh Road
Bid,Bid Urban,Shivbasti Industrial
Miraj,Miraj North,Pashan Colony
Ichalkaranji,Ichalkaranji Central,Magarpatta Colony
Pandharpur,Pandharpur Urban,Rajpur Residential
Pune,Pune Rural,Pimpri Layout
Mumbai,Mumbai Taluka-3,Lohegaon
Nagpur,Nagpur Taluka-1,Shivcolony Industrial
Nashik,Nashik Urban,Baner Layout 7
Aurangabad,Aurangabad Taluka-3,Katraj
Kolhapur,Kolhapur Rural,Pashan 11
Solapur,Solapur Urban,Borivali Road
Sangli,Sangli Urban,Bhosari Nagar 7
Satara,Satara Rural,Lakepura North
Jalgaon,Jalgaon Taluka-1,Magarpatta Market
Amravati,Amravati Central,Nigdi Layout
Pimpri-Chinchwad,Pimpri-Chinchwad North,Rajbagh South
Thane,Thane South,Pimple Saudagar
Navi Mumbai,Navi Mumbai Central,Wakad Colony
Akola,Akola Taluka-2,Worli Road
Wardha,Wardha East,Shivaji Nagar Nagar
Beed,Beed Urban,Mulund Road
Latur,Latur Taluka-1,Gayatripur Extension
Nanded,Nanded West,Kothrud Layout
Parbhani,Parbhani Taluka-3,Lakemarket Extension
Raigad,Raigad Taluka-3,Mulund Nagar
Ratnagiri,Ratnagiri West,Kothrud Society
Sindhudurg,Sindhudurg Taluka-3,Ganeshwadi Extension
Palghar,Palghar Taluka-1,Katraj Layout
Buldhana,Buldhana West,Dhayari Society
Nandurbar,Nandurbar Urban,Narhe Nagar
Dhule,Dhule Rural,Worli Market 15
Jalna,Jalna Rural,Vile Parle
Osmanabad,Osmanabad West,Wagholi Nagar
Hingoli,Hingoli Taluka-3,Wanowrie
Washim,Washim East,Manjari Colony
Yavatmal,Yavatmal South,Sus Colony
Bhandara,Bhandara North,Camp
Gondia,Gondia Rural,Gardennagar Central
Gadchiroli,Gadchiroli Central,Kalyani Nagar
Chandrapur,Chandrapur Taluka-3,Lakepura Residential
Bid,Bid East,Andheri Bazar
Miraj,Miraj Taluka-1,Camp
Ichalkaranji,Ichalkaranji East,Hinjawadi Nagar
Pandharpur,Pandharpur Taluka-2,Gardenmarket East
Pune,Pune East,Shreenagar Central
Mumbai,Mumbai Urban,Krishnacolony North
Nagpur,Nagpur South,Prakashbasti Central 19
Nashik,Nashik North,Hillcolony South
Aurangabad,Aurangabad South,Narhe Society
Kolhapur,Kolhapur Taluka-2,Saigaon North
Solapur,Solapur Urban,Camp Nagar
Sangli,Sangli Central,Lohegaon Market
Satara,Satara North,Sagargalli North
Jalgaon,Jalgaon Central,Santgalli Extension 7
Amravati,Amravati East,Magarpatta Market
Pimpri-Chinchwad,Pimpri-Chinchwad Urban,Bavdhan Layout
Thane,Thane Taluka-3,Rivercolony Phase-2
Navi Mumbai,Navi Mumbai Central,Vasantwadi Phase-1
Akola,Akola Central,Manjari Market
Wardha,Wardha Taluka-3,Byculla Bazar
Beed,Beed North,Shantivihar Extension
Latur,Latur Urban,Rajbasti North
Nanded,Nanded South,Nigdi Society
Parbhani,Parbhani Taluka-2,Juhu Bazar
Raigad,Raigad Taluka-3,Worli Market
Ratnagiri,Ratnagiri Taluka-2,FC Road Colony 10
Sindhudurg,Sindhudurg Taluka-1,Manjari Colony
Palghar,Palghar Taluka-1,Rajavihar Central
Buldhana,Buldhana Rural,Kondhwa Layout
Nandurbar,Nandurbar Rural,Shreegaon South
Dhule,Dhule South,Lower Parel Road
Jalna,Jalna Rural,Camp
Osmanabad,Osmanabad Taluka-2,Bavdhan Society
Hingoli,Hingoli Rural,Borivali Nagar
Washim,Washim Taluka-3,Narhe Road
Yavatmal,Yavatmal Taluka-3,Wakad
Bhandara,Bhandara Taluka-3,Wakad Market
Gondia,Gondia Taluka-1,Chembur Society
Gadchiroli,Gadchiroli North,Kharadi Market
Chandrapur,Chandrapur Taluka-1,Colaba Road
Bid,Bid Central,Bhosari Layout
Miraj,Miraj North,Shreewadi Industrial
Ichalkaranji,Ichalkaranji Taluka-2,Shantibasti West
Pandharpur,Pandharpur South,Prakashgalli Residential 6
Pune,Pune Rural,Pimple Saudagar Road
Mumbai,Mumbai Urban,Khar Layout 18
Nagpur,Nagpur Taluka-2,Narhe Society
Nashik,Nashik North,Newpura South 18
Aurangabad,Aurangabad Urban,Dhayari Colony
Kolhapur,Kolhapur Taluka-3,Wanowrie Society
Solapur,Solapur Taluka-1,Bandra
Sangli,Sangli North,Viman Nagar Bazar
Satara,Satara North,Udaybagh Industrial
Jalgaon,Jalgaon South,Wagholi Market
Amravati,Amravati Taluka-3,Sailayout Phase-1
Pimpri-Chinchwad,Pimpri-Chinchwad East,Bavdhan Layout
Thane,Thane South,Gandhigalli East
Navi Mumbai,Navi Mumbai Taluka-2,Nigdi Nagar
Akola,Akola Central,Colaba Road
Wardha,Wardha Taluka-1,Dhayari Market
Beed,Beed Central,Santbagh Phase-1
Latur,Latur Urban,Kasba Peth Nagar
Nanded,Nanded South,Oldbasti Central
Parbhani,Parbhani Rural,Rajawadi Phase-2
Raigad,Raigad Urban,Rivercolony Extension
Ratnagiri,Ratnagiri West,Nigdi Layout
Sindhudurg,Sindhudurg West,Viman Nagar Colony
Palghar,Palghar North,Baner Bazar
Buldhana,Buldhana South,Viman Nagar Layout
Nandurbar,Nandurbar Taluka-2,Lakepur North
Dhule,Dhule South,Krishnawadi Extension
Jalna,Jalna Taluka-1,Udaygaon Extension
Osmanabad,Osmanabad East,Pimpri Colony
Hingoli,Hingoli Rural,Netajimandi Phase-1
Washim,Washim Taluka-3,FC Road Society
Yavatmal,Yavatmal Rural,Krishnacolony Industrial
Bhandara,Bhandara Central,Oldwadi Phase-1
Gondia,Gondia Taluka-3,Katraj Layout
Gadchiroli,Gadchiroli Taluka-2,Newpur North
Chandrapur,Chandrapur Taluka-2,Vile Parle Road
Bid,Bid Taluka-2,Koregaon Park 9
Miraj,Miraj Taluka-1,Lower Parel Market
Ichalkaranji,Ichalkaranji South,Lakegaon East
Pandharpur,Pandharpur Rural,Lohegaon Road
Pune,Pune Rural,Mulund Layout
Mumbai,Mumbai Taluka-3,Wanowrie Road
Nagpur,Nagpur Taluka-1,Rammarket Extension
Nashik,Nashik Rural,Hillcolony Residential
Aurangabad,Aurangabad Central,Narhe Layout
Kolhapur,Kolhapur Rural,Camp Road
Solapur,Solapur South,Anandlayout East
Sangli,Sangli Urban,Kurla Road
Satara,Satara Taluka-2,Greenmandi Residential
Jalgaon,Jalgaon Urban,Baner
Amravati,Amravati West,Ganeshvihar Central
Pimpri-Chinchwad,Pimpri-Chinchwad Taluka-3,Aundh Layout
Thane,Thane South,Akurdi Colony
Navi Mumbai,Navi Mumbai South,Ganeshmandi Industrial
Akola,Akola Urban,Katraj Layout
Wardha,Wardha North,Ghatkopar
Beed,Beed Urban,Shivaji Nagar Road
Latur,Latur East,Dhayari Bazar 6
Nanded,Nanded West,Hadapsar Layout
Parbhani,Parbhani Taluka-1,Balewadi Society
Raigad,Raigad Urban,Krishnamandi Extension
Ratnagiri,Ratnagiri Taluka-1,Greengalli Industrial 16
Sindhudurg,Sindhudurg South,Baner Bazar
Palghar,Palghar North,Pimple Saudagar Nagar
Buldhana,Buldhana Taluka-1,Borivali Nagar
Nandurbar,Nandurbar West,Greenwadi South 2
Dhule,Dhule West,Bhosari Market
Jalna,Jalna Taluka-1,Ghatkopar Society 5
Osmanabad,Osmanabad Central,Mulund Layout
Hingoli,Hingoli Taluka-1,Prakashmarket Phase-1
Washim,Washim Urban,Vasantwadi Industrial 15
Yavatmal,Yavatmal Taluka-3,Balewadi Layout
Bhandara,Bhandara East,Dadar Nagar
Gondia,Gondia Taluka-1,Chinchwad Bazar
Gadchiroli,Gadchiroli Urban,Shantipur East
Chandrapur,Chandrapur Taluka-1,Oldbasti Residential
Bid,Bid East,Shantichowk South 11
Miraj,Miraj West,Ganeshmandi North
Ichalkaranji,Ichalkaranji Rural,Kondhwa Market
Pandharpur,Pandharpur Urban,Aundh Bazar 19
Pune,Pune South,Wanowrie
Mumbai,Mumbai Urban,Shivaji Nagar
Nagpur,Nagpur South,Chinchwad Nagar
Nashik,Nashik East,Shivvihar Extension
Aurangabad,Aurangabad Taluka-3,Akurdi Bazar
Kolhapur,Kolhapur Rural,Worli Layout 13
Solapur,Solapur Central,Santgalli East 1
Sangli,Sangli Urban,Prakashvihar East
Satara,Satara Rural,Pimpri
Jalgaon,Jalgaon West,Kothrud Bazar 9
Amravati,Amravati Taluka-2,Byculla Nagar
Pimpri-Chinchwad,Pimpri-Chinchwad Taluka-3,Riverchowk Central 14
Thane,Thane Taluka-2,Gandhibagh Residential
Navi Mumbai,Navi Mumbai Taluka-2,Dadar Colony
Akola,Akola Central,Fursungi Society 13
Wardha,Wardha Taluka-2,Fursungi Society
Beed,Beed West,Baner Layout
Latur,Latur Taluka-1,Pashan Bazar
Nanded,Nanded Taluka-2,Kurla Nagar
Parbhani,Parbhani West,Dadar Road
Raigad,Raigad Rural,Kothrud
Ratnagiri,Ratnagiri Central,Balewadi Layout
Sindhudurg,Sindhudurg South,Vasantbasti East
Palghar,Palghar North,Viman Nagar Market
Buldhana,Buldhana South,Vile Parle Market
Nandurbar,Nandurbar West,Gayatriwadi Industrial
Dhule,Dhule Urban,Mulund Layout
Jalna,Jalna South,Udaycolony Phase-1
Osmanabad,Osmanabad Taluka-3,Camp Bazar
Hingoli,Hingoli Taluka-3,Greenbagh East 3
Washim,Washim Taluka-3,Balewadi Bazar 14
Yavatmal,Yavatmal Rural,Vijaynagar Phase-1
Bhandara,Bhandara East,Gandhipur Extension
Gondia,Gondia Urban,Udaywadi Phase-2
Gadchiroli,Gadchiroli Urban,Ganeshmarket Residential
Chandrapur,Chandrapur East,Pimple Saudagar Market
Bid,Bid East,Byculla Road
Miraj,Miraj Taluka-3,Saibasti Central 2
Ichalkaranji,Ichalkaranji Taluka-2,Kothrud Road
Pandharpur,Pandharpur Rural,Kondhwa Market
Pune,Pune Urban,Kothrud Colony
Mumbai,Mumbai Urban,Udaychowk South
Nagpur,Nagpur West,Worli Bazar
Nashik,Nashik Urban,Byculla Market
Aurangabad,Aurangabad North,Shantibasti Phase-1
Kolhapur,Kolhapur Taluka-3,Kothrud
Solapur,Solapur West,Bhosari Market 13
Sangli,Sangli Taluka-3,Santlayout Residential
Satara,Satara Central,Wagholi Layout
Jalgaon,Jalgaon Urban,Yerawada Layout
Amravati,Amravati West,Shivchowk North
Pimpri-Chinchwad,Pimpri-Chinchwad Urban,Chembur Society
Thane,Thane Taluka-2,Pashan Society
Navi Mumbai,Navi Mumbai North,Bhosari Society
Akola,Akola Central,Udaychowk Phase-2
Wardha,Wardha West,Rajmandi North
Beed,Beed Rural,Narhe Nagar
Latur,Latur Urban,Katraj Layout
Nanded,Nanded South,Ramwadi West
Parbhani,Parbhani Taluka-3,Borivali Society
Raigad,Raigad Taluka-3,Lohegaon Road
Ratnagiri,Ratnagiri Taluka-2,Chembur
Sindhudurg,Sindhudurg West,Prakashmandi North
Palghar,Palghar Urban,Pashan Society
Buldhana,Buldhana East,Rajmandi Phase-1
Nandurbar,Nandurbar Rural,Wanowrie Layout
Dhule,Dhule West,Lohegaon Society
Jalna,Jalna Taluka-1,Bhosari Society
Osmanabad,Osmanabad Taluka-3,Shreenagar Industrial
Hingoli,Hingoli East,Khar Society
Washim,Washim Taluka-2,Worli Market
Yavatmal,Yavatmal Urban,Wagholi Society
Bhandara,Bhandara North,Borivali
Gondia,Gondia Urban,Shantichowk Phase-2
Gadchiroli,Gadchiroli West,Gandhibasti West
Chandrapur,Chandrapur East,Pimpri Bazar 11
Bid,Bid Urban,Vile Parle
Miraj,Miraj Taluka-2,Gayatribasti Residential
Ichalkaranji,Ichalkaranji North,Oldchowk East
Pandharpur,Pandharpur Taluka-2,Koregaon Park Road
Pune,Pune Rural,Vijaywadi Extension
Mumbai,Mumbai Urban,Kothrud Colony
Nagpur,Nagpur West,Gandhichowk West
Nashik,Nashik East,Vijaywadi Phase-1
Aurangabad,Aurangabad Taluka-3,Lower Parel Road
Kolhapur,Kolhapur Taluka-1,Anandpura East
Solapur,Solapur Taluka-1,Gardencolony East
Sangli,Sangli Taluka-3,Shivnagar Industrial 11
Satara,Satara West,Hadapsar Society
Jalgaon,Jalgaon Central,Kharadi Market
Amravati,Amravati West,Rajanagar Industrial
Pimpri-Chinchwad,Pimpri-Chinchwad Taluka-3,Udaypur East
Thane,Thane South,Riverpura Central
Navi Mumbai,Navi Mumbai Taluka-2,Shantivihar Central
Akola,Akola Taluka-2,Shivaji Nagar
Wardha,Wardha East,Lower Parel Market
Beed,Beed Rural,Yerawada Society
Latur,Latur Taluka-1,Ganeshgalli Industrial
Nanded,Nanded South,Shreegaon Phase-1
Parbhani,Parbhani Taluka-2,Oldnagar Phase-1
Raigad,Raigad Taluka-3,Rajvihar Central
Ratnagiri,Ratnagiri West,Oldpur Phase-2
Sindhudurg,Sindhudurg Taluka-1,Prakashbasti Phase-1
Palghar,Palghar Urban,Baner Bazar
Buldhana,Buldhana East,Gardencolony East
Nandurbar,Nandurbar Taluka-2,Prakashpeth South
Dhule,Dhule Taluka-2,Pashan Bazar
Jalna,Jalna South,Bhosari Society 16
Osmanabad,Osmanabad Taluka-1,Kondhwa Society 7
Hingoli,Hingoli Taluka-3,Gandhimandi Phase-1
Washim,Washim Taluka-3,Worli Layout
Yavatmal,Yavatmal South,Kothrud Layout
Bhandara,Bhandara Taluka-2,Krishnamandi Central
Gondia,Gondia Urban,Colaba Market
Gadchiroli,Gadchiroli North,Gardenmarket East 9
Chandrapur,Chandrapur Taluka-2,Gardenbagh Industrial
Bid,Bid East,Pimple Saudagar Colony
Miraj,Miraj Central,Undri Layout
Ichalkaranji,Ichalkaranji Rural,Rivermarket Extension
Pandharpur,Pandharpur East,Borivali
Pune,Pune West,Lakevihar North
Mumbai,Mumbai West,Hinjawadi Bazar
Nagpur,Nagpur West,Gardencolony South
Nashik,Nashik South,Gardenlayout Extension
Aurangabad,Aurangabad Urban,Dadar Layout
Kolhapur,Kolhapur South,Vile Parle Market
Solapur,Solapur Central,Saigalli South
Sangli,Sangli West,Baner Nagar
Satara,Satara West,Hillpura South
Jalgaon,Jalgaon North,Kondhwa Layout
Amravati,Amravati Central,Shreechowk Phase-1
Pimpri-Chinchwad,Pimpri-Chinchwad East,Krishnabasti West
Thane,Thane Urban,Pimple Saudagar Bazar
Navi Mumbai,Navi Mumbai East,Bhosari Colony
Akola,Akola East,Chembur Nagar
Wardha,Wardha Taluka-2,Krishnanagar Central
Beed,Beed West,Ghatkopar Market
Latur,Latur Urban,Rajalayout West
Nanded,Nanded Taluka-3,Lakegaon East
Parbhani,Parbhani West,Gandhigalli Residential
Raigad,Raigad North,Anandwadi Extension
Ratnagiri,Ratnagiri Taluka-1,Rajagaon Central
Sindhudurg,Sindhudurg Taluka-3,Vasantlayout East
Palghar,Palghar North,Sagarmandi Central
Buldhana,Buldhana Urban,Andheri Society
Nandurbar,Nandurbar West,Wanowrie Road
Dhule,Dhule West,Bandra Bazar
Jalna,Jalna Taluka-1,Sagarvihar Phase-1 10
Osmanabad,Osmanabad West,Chembur Bazar
Hingoli,Hingoli Taluka-2,Shivaji Nagar Colony
Washim,Washim Taluka-2,Lakewadi East
Yavatmal,Yavatmal Urban,Greenchowk Phase-2
Bhandara,Bhandara West,Magarpatta Road 10
Gondia,Gondia Central,Wakad Bazar
Gadchiroli,Gadchiroli East,Mulund Bazar
Chandrapur,Chandrapur Taluka-3,Dadar Layout
Bid,Bid Taluka-2,Netajiwadi Phase-1
Miraj,Miraj Taluka-3,Koregaon Park Road
Ichalkaranji,Ichalkaranji East,Mulund Nagar
Pandharpur,Pandharpur Urban,Shivpeth South
Pune,Pune West,Kothrud Bazar
Mumbai,Mumbai Urban,Baner Layout
Nagpur,Nagpur West,Bandra Society
Nashik,Nashik Central,Colaba Market 18
Aurangabad,Aurangabad Urban,Pimple Saudagar Nagar
Kolhapur,Kolhapur Rural,Bandra Society
Solapur,Solapur Rural,Vasantpur North 15
Sangli,Sangli East,Vasantpura West
Satara,Satara Rural,Pimpri Market
Jalgaon,Jalgaon Central,Manjari Road
Amravati,Amravati West,Netajipura Industrial
Pimpri-Chinchwad,Pimpri-Chinchwad North,Hadapsar Colony
Thane,Thane Central,Nigdi Nagar
Navi Mumbai,Navi Mumbai South,Andheri Society
Akola,Akola Urban,Camp Market
Wardha,Wardha East,Wanowrie Road
Beed,Beed North,Vijaylayout Residential
Latur,Latur Urban,Shivwadi Extension
Nanded,Nanded South,Krishnamarket Phase-2
Parbhani,Parbhani Rural,Manjari
Raigad,Raigad North,Gayatricolony South
Ratnagiri,Ratnagiri Taluka-1,Kondhwa Market
Sindhudurg,Sindhudurg West,Kothrud
Palghar,Palghar North,Fursungi Society 2
Buldhana,Buldhana East,Kasba Peth Bazar
Nandurbar,Nandurbar Rural,Shantinagar Central
Dhule,Dhule East,Vasantmarket Central
Jalna,Jalna Taluka-1,Pimpri Road
Osmanabad,Osmanabad West,Riverchowk West
Hingoli,Hingoli Taluka-1,Kurla Colony 19
Washim,Washim Taluka-2,Undri Society
Yavatmal,Yavatmal Rural,Bhosari Road
Bhandara,Bhandara Taluka-2,Kothrud Nagar
Gondia,Gondia Taluka-3,Vasantchowk East
Gadchiroli,Gadchiroli East,Gandhipeth Residential
Chandrapur,Chandrapur Rural,Ambegaon Society 13
Bid,Bid Taluka-2,Hinjawadi Society
Miraj,Miraj West,Narhe Layout
Ichalkaranji,Ichalkaranji Central,Kalyani Nagar Society
Pandharpur,Pandharpur Taluka-3,Nigdi
Pune,Pune Rural,Manjari Nagar
Mumbai,Mumbai Taluka-3,Lower Parel Nagar
Nagpur,Nagpur South,Lower Parel Society
Nashik,Nashik North,Sus Bazar 7
Aurangabad,Aurangabad North,Saipura Extension
Kolhapur,Kolhapur Rural,Kharadi 12
Solapur,Solapur West,Vasantgaon East
Sangli,Sangli East,Ghatkopar Nagar
Satara,Satara South,Kharadi Nagar
Jalgaon,Jalgaon Urban,Newgalli Industrial
Amravati,Amravati Central,Rivergalli Extension
Pimpri-Chinchwad,Pimpri-Chinchwad East,Colaba Layout
Thane,Thane Urban,Vijaygaon West
Navi Mumbai,Navi Mumbai South,Gardenbagh Extension
Akola,Akola Urban,Prakashmandi South
Wardha,Wardha Rural,Kothrud Society
Beed,Beed West,Borivali Bazar
Latur,Latur East,Lakemandi Central
Nanded,Nanded Central,Katraj Nagar
Parbhani,Parbhani Urban,Dhayari Road
Raigad,Raigad Rural,Anandgalli Industrial
Ratnagiri,Ratnagiri Taluka-2,Shivpur Industrial
Sindhudurg,Sindhudurg West,Magarpatta Road
Palghar,Palghar Urban,Oldgaon Phase-1
Buldhana,Buldhana Urban,Oldpur Phase-1
Nandurbar,Nandurbar Urban,Gandhigaon Phase-1
Dhule,Dhule East,Yerawada
Jalna,Jalna Central,Greenpura Residential
Osmanabad,Osmanabad Central,Rajgaon West 14
Hingoli,Hingoli Taluka-2,Kondhwa Market
Washim,Washim Taluka-3,Dadar Bazar
Yavatmal,Yavatmal South,Wanowrie Road
Bhandara,Bhandara South,Shivchowk Extension
Gondia,Gondia Taluka-2,Kalyani Nagar Market
Gadchiroli,Gadchiroli East,Netajinagar West
Chandrapur,Chandrapur Taluka-1,Wanowrie Bazar
Bid,Bid East,Wanowrie Society
Miraj,Miraj West,Kondhwa Road
Ichalkaranji,Ichalkaranji Taluka-2,Rajamandi Extension 1
Pandharpur,Pandharpur Taluka-3,Vile Parle Road
Pune,Pune Urban,Andheri Layout
Mumbai,Mumbai Taluka-3,Kalyani Nagar Nagar
Nagpur,Nagpur Taluka-2,Andheri Market
Nashik,Nashik North,Shreegalli South
Aurangabad,Aurangabad North,Rajpura Phase-2 5
Kolhapur,Kolhapur North,Greenchowk Phase-2
Solapur,Solapur Rural,Newvihar West
Sangli,Sangli Taluka-3,Wakad
Satara,Satara North,Shivaji Nagar Road
Jalgaon,Jalgaon Rural,Lakemarket Residential
Amravati,Amravati Taluka-2,Anandbagh Phase-2
Pimpri-Chinchwad,Pimpri-Chinchwad North,Newnagar West
Thane,Thane Taluka-3,Fursungi Colony
Navi Mumbai,Navi Mumbai North,Koregaon Park Market 6
Akola,Akola Central,Viman Nagar Nagar
Wardha,Wardha West,Mulund 18
Beed,Beed North,Pimpri
Latur,Latur Urban,Udaypura Central
Nanded,Nanded Central,Pimple Saudagar Colony
Parbhani,Parbhani West,Narhe Layout
Raigad,Raigad North,Gayatrigaon South
Ratnagiri,Ratnagiri West,Saigaon South
Sindhudurg,Sindhudurg South,Shivbasti Phase-1
Palghar,Palghar Taluka-1,Hadapsar Nagar
Buldhana,Buldhana Taluka-1,Hillnagar North 18
Nandurbar,Nandurbar Rural,Oldmandi East
Dhule,Dhule Urban,Riverbasti Phase-2
Jalna,Jalna Taluka-1,Camp Colony
Osmanabad,Osmanabad Taluka-3,Shreelayout Central
Hingoli,Hingoli Taluka-1,Pashan Road
Washim,Washim Taluka-2,Magarpatta Society
Yavatmal,Yavatmal Urban,Newbasti North
Bhandara,Bhandara East,Chembur Colony
Gondia,Gondia Taluka-2,Kondhwa
Gadchiroli,Gadchiroli Central,Lohegaon Bazar
Chandrapur,Chandrapur Rural,Hadapsar Market
Bid,Bid Urban,Kasba Peth Layout
Miraj,Miraj Central,Rivermandi Phase-2 8
Ichalkaranji,Ichalkaranji Taluka-2,Andheri Colony
Pandharpur,Pandharpur Taluka-2,Shreebasti South
Pune,Pune Taluka-3,Dadar Bazar
Mumbai,Mumbai Urban,Vijaybagh Central
Nagpur,Nagpur West,Nigdi
Nashik,Nashik South,Bhosari Colony
Aurangabad,Aurangabad South,Wagholi Market
Kolhapur,Kolhapur Central,Shantibagh Residential
Solapur,Solapur Central,Shivbagh Phase-2
Sangli,Sangli Urban,Vasantmarket Residential
Satara,Satara South,Newpur Phase-2
Jalgaon,Jalgaon North,Hillmandi Central 19
Amravati,Amravati West,Undri Bazar 14
Pimpri-Chinchwad,Pimpri-Chinchwad Rural,Lower Parel Nagar
Thane,Thane Urban,Ganeshbagh Central
Navi Mumbai,Navi Mumbai East,Dadar
Akola,Akola East,Camp Bazar
Wardha,Wardha East,Undri Market
Beed,Beed West,Colaba Market
Latur,Latur Taluka-2,Santpur East
Nanded,Nanded Taluka-3,Yerawada Layout
Parbhani,Parbhani Urban,Wagholi Bazar
Raigad,Raigad West,Santvihar Residential
Ratnagiri,Ratnagiri Taluka-1,Krishnagalli Residential
Sindhudurg,Sindhudurg South,Colaba Colony 14
Palghar,Palghar South,Rajapur Residential
Buldhana,Buldhana Taluka-2,Rajgalli West
Nandurbar,Nandurbar Rural,Udaygalli North
Dhule,Dhule East,Wagholi Colony
Jalna,Jalna Central,Undri Market
Osmanabad,Osmanabad West,Dadar Colony
Hingoli,Hingoli Taluka-3,Sagarmarket Central 1
Washim,Washim Urban,Shivaji Nagar 3
Yavatmal,Yavatmal South,Lohegaon
Bhandara,Bhandara East,Colaba Road
Gondia,Gondia Taluka-2,Vasantchowk East 5
Gadchiroli,Gadchiroli East,Oldpeth Industrial
Chandrapur,Chandrapur East,Chembur Road
Bid,Bid Taluka-2,Borivali Road
Miraj,Miraj Central,Gardenpur Phase-1
Ichalkaranji,Ichalkaranji Urban,Pashan Layout 7
Pandharpur,Pandharpur East,Hadapsar Bazar
Pune,Pune Urban,Shivchowk Phase-2
Mumbai,Mumbai West,Santgaon Industrial
Nagpur,Nagpur Taluka-2,Colaba Colony
Nashik,Nashik Urban,Pimple Saudagar Nagar
Aurangabad,Aurangabad Central,Aundh Road
Kolhapur,Kolhapur Taluka-2,Saibasti Phase-1
Solapur,Solapur Central,Prakashlayout Phase-1 2
Sangli,Sangli Central,Juhu
Satara,Satara Rural,Worli Nagar 19
Jalgaon,Jalgaon Urban,Dhayari Layout
Amravati,Amravati Taluka-2,Hillpeth Central
Pimpri-Chinchwad,Pimpri-Chinchwad South,Aundh Nagar
Thane,Thane Taluka-1,Undri Society
Navi Mumbai,Navi Mumbai East,Oldvihar Industrial
Akola,Akola Taluka-2,Camp Layout 5
